prov_name,指标,地区生产总值(亿元),第一产业增加值(亿元),第二产业增加值(亿元),第三产业增加值(亿元),农林牧渔业增加值(亿元),工业增加值(亿元),建筑业增加值(亿元),批发和零售业增加值(亿元),批发和零售贸易餐饮业增加值(亿元),交通运输、仓储和邮政业增加值(亿元),交通运输、仓储和邮电通信业增加值(亿元),住宿和餐饮业增加值(亿元),金融业增加值(亿元),房地产业增加值(亿元),其他行业增加值(亿元),人均地区生产总值(元/人)
黑龙江省,2014,15039.38,2611.36,5544.41,6883.61,2659.63,4783.88,845.15,1585,NA,683.12,NA,438.79,707.47,581.28,2755.08,39226
黑龙江省,2013,14454.91,2474.12,5846.67,6134.12,2516.79,5090.34,843.8,1421.67,NA,601.48,NA,387.73,606.22,552,2434.88,37697
黑龙江省,2012,13691.58,2113.66,6037.61,5540.31,2113.66,5240.65,796.96,1339.05,NA,598.78,NA,367.4,485.11,522.27,2227.7,35711
黑龙江省,2011,12582,1701.5,5962.41,4918.09,1701.5,5234.64,727.77,1199.82,NA,568.81,NA,308.98,370.78,492.1,1977.6,32819
黑龙江省,2010,10368.6,1302.9,5025.15,4040.55,1302.9,4429.31,595.84,935.94,NA,486.01,NA,253.78,304.59,391.89,1668.34,27076
黑龙江省,2009,8587,1154.33,4060.72,3371.95,1154.33,3549.73,510.99,757.36,NA,433.55,NA,211,227.54,301.18,1441.32,22447
黑龙江省,2008,8314.37,1088.94,4319.75,2905.68,1088.94,3866.43,453.32,610.49,NA,434.03,NA,167.89,177.43,244.47,1271.37,21740
黑龙江省,2007,7104,915.38,3695.58,2493.04,915.38,3326.9,368.68,494.19,NA,412.1,NA,141.16,155.48,225.81,1064.3,18580
黑龙江省,2006,6211.8,750.14,3365.31,2096.35,750.14,3049.04,316.27,439.89,NA,352.04,NA,121.96,74.17,194.7,913.59,16268
黑龙江省,2005,5513.7,684.6,2971.68,1857.42,684.6,2696.3,275.38,403.72,NA,331.55,NA,105.95,35.03,163.34,817.83,14434
黑龙江省,2004,4750.6,605.79,2487.04,1657.77,605.79,2242.32,244.72,382.24,NA,301.54,NA,93.36,32.2,137.74,710.69,12449
黑龙江省,2003,4057.4,504.8,2084.7,1467.9,504.8,1874.8,209.9,NA,412.3,NA,330.5,NA,32.2,127.2,565.7,10638
黑龙江省,2002,3637.2,474.2,1843.6,1319.4,474.2,1650.8,192.8,NA,377.1,NA,302.4,NA,31.6,118.7,489.6,9541
黑龙江省,2001,3390.1,435.6,1773.3,1181.2,435.6,1592,181.3,NA,344.8,NA,262.8,NA,31.3,109.9,432.4,8900
黑龙江省,2e3,3151.4,383.15,1731.7,1036.55,383.15,1566.4,165.3,NA,317.4,NA,213.3,NA,30.9,105.5,369.45,8294
黑龙江省,1999,2866.3,377.2,1556.7,932.4,377.2,1399.9,156.8,NA,255.7,NA,170,NA,117.8,57.61,331.29,7578
黑龙江省,1998,2774.4,429.1,1482.3,863,429.1,1332,150.3,NA,246.57,NA,160.1,NA,115.3,53,288.03,7375
黑龙江省,1997,2667.5,460.2,1432.9,774.4,460.2,1304.9,128,NA,231.1,NA,143.2,NA,109.2,45.6,245.3,7133
上海市,2016,28178.65,109.47,8406.28,19662.9,113.47,7555.34,879.81,4119.59,NA,1237.32,NA,388.98,4765.83,2125.62,6992.69,116562
上海市,2015,25123.45,109.82,7991,17022.63,114,7162.33,855.22,3824.22,NA,1133.17,NA,374.63,4162.7,1699.78,5797.41,103796
上海市,2014,23567.7,124.26,8167.71,15275.72,128.62,7362.84,831.86,3647.33,NA,1044.46,NA,359.28,3400.41,1530.96,5261.94,97370
上海市,2013,21818.15,124.89,7907.81,13785.45,129.28,7139.18,791.08,3533.1,NA,935.91,NA,311.81,2823.81,1427.05,4726.93,90993
上海市,2012,20181.72,127.8,7854.77,12199.15,127.8,7097.76,757.01,3291.93,NA,895.31,NA,298.4,2450.36,1147.04,4116.11,85373
上海市,2011,19195.69,124.94,7927.89,11142.86,124.94,7208.59,719.3,3040.99,NA,868.31,NA,279.34,2277.4,1019.68,3657.14,82560
上海市,2010,17165.98,114.15,7218.32,9833.51,114.15,6536.21,682.11,2594.34,NA,834.4,NA,266.45,1950.96,1002.5,3184.86,76074
上海市,2009,15046.45,113.82,6001.78,8930.85,113.82,5408.75,593.03,2183.85,NA,635.01,NA,238.36,1804.28,1237.56,2831.79,69165
上海市,2008,14069.86,111.8,6085.84,7872.23,111.8,5576.79,509.05,1933.65,NA,712.99,NA,244.26,1414.21,939.34,2627.78,66932
上海市,2007,12494.01,101.84,5571.06,6821.11,101.84,5154.42,416.64,1525.43,NA,682.84,NA,219.36,1209.08,958.06,2226.34,62041
