prov_name,指标,城镇单位就业人员(万人),农林牧渔业城镇单位就业人员(万人),采矿业城镇单位就业人员(万人),制造业城镇单位就业人员(万人),电力、燃气及水的生产和供应业城镇单位就业人员(万人),建筑业城镇单位就业人员(万人),交通运输、仓储及邮电通信业城镇单位就业人员(万人),信息传输、计算机服务和软件业城镇单位就业人员(万人),批发和零售业城镇单位就业人员(万人),住宿和餐饮业城镇单位就业人员(万人),金融业城镇单位就业人员(万人),房地产业城镇单位就业人员(万人),租赁和商务服务业城镇单位就业人员(万人),科学研究、技术服务和地质勘查业城镇单位就业人员(万人),水利、环境和公共设施管理业城镇单位就业人员(万人),居民服务和其他服务业城镇单位就业人员(万人),教育业城镇单位就业人员(万人),卫生、社会保障和社会福利业城镇单位就业人员(万人),文化、体育和娱乐业城镇单位就业人员(万人),公共管理和社会组织城镇单位就业人员(万人)
安徽省,2014,521.74,4.51,31.33,122.62,10.84,97.08,21.72,7.38,23.44,5.98,17.66,10.4,6.02,9.58,8.16,0.95,64.71,28.16,3.36,47.84
安徽省,2013,519.67,4.91,33.1,120.43,11.98,99.68,22.01,6.21,22.56,5.79,17.24,9.38,7.1,8.33,7.76,0.9,63.65,27.15,3.38,48.13
安徽省,2012,436.83,5.38,34.61,90.94,9.88,69.94,16.32,4.55,15.92,4.34,16.83,6.91,3.68,8.21,8.08,0.56,63.26,25.32,3.59,48.51
安徽省,2011,411.55,5.97,34.03,85.53,9.75,58.43,16.7,4.37,15.51,3.94,16.04,6.15,4.85,7.55,7.2,0.46,61.62,23.1,3.29,47.07
安徽省,2010,372.9,6.1,32.1,76,9.6,42.1,15.1,3.8,14,3.7,14.7,4.9,4.6,6.7,6.4,0.5,60.5,22,3.4,46.7
安徽省,2009,359.86,6.25,30.3,70.61,9.43,40.7,14.74,3.74,13.46,3.74,14.54,4.35,4.33,6,6.55,0.57,59.56,21.54,3.32,46.15
安徽省,2008,343.72,7.46,29.25,67.3,9.82,34.21,14.8,3.47,13.76,3.1,13.09,3.33,5.16,5.63,6.35,0.47,58.68,19.6,3.54,44.7
福建省,2016,668.83,4.34,2.07,228.28,9.06,168.54,23.4,9.11,27.82,9.77,19.57,15.6,14.49,8.72,5.62,2.7,52.14,22.85,4.22,40.51
福建省,2015,663.08,4.48,2.5,235.47,9.03,162.93,24.5,9,28.36,9.8,17.88,15.29,12.56,8.57,5.53,1.78,50.33,21.56,4.31,39.19
福建省,2014,654.64,4.52,2.53,245.29,9.08,154.75,24.04,7.1,27,9.93,16.48,14.32,11.71,8.48,5.77,1.49,50.09,20.97,4.05,37.04
福建省,2013,644.03,4.54,2.77,252.55,8.87,146.19,24.35,6.96,26.37,9.81,15.13,12.61,11.43,7.73,5.48,1.36,48.23,19.75,3.97,35.94
福建省,2012,637.86,4.82,5.32,292.38,9.48,121.7,18.64,5.33,24.25,9.4,14.75,10.18,6,6.54,5,1.39,46.69,18.11,3.55,34.33
福建省,2011,596.33,6.1,6.91,282.98,9.53,99.95,17.87,5.43,20.13,8.74,13.6,9.11,6.6,5.71,4.73,1.31,46.05,17.14,3.8,30.65
